local_path,bytes,sha256,official_url,document_identity,document_date_or_revision,retrieval_date,evidence_class,redistribution
SOURCES/components/ISISPACE_ICEPS2/ICEPS2_Datasheet_Issue1.2.pdf,863029,ebc07b06bb9a64f32a59e052e46f0ba0158f293c59f7f84903702fbf895a68ff,https://isispace.nl/wp-content/uploads/2025/01/ISIS-ICEPS2-DSH-0001-ICEPS2_Datasheet-01_02.pdf,ISIS-ICEPS2-DSH-0001,Issue 1.2 / 2024-07-26,2026-09-15,PRIMARY MANUFACTURER,COPYRIGHTED_LOCAL_ONLY
SOURCES/components/GomSpace_NanoMind_A3200/NanoMind_A3200_DS1006901_rev1.17.pdf,753990,6efd7443077f7667c1d06a2930a72cca9de3e65086f6887bc5314533434a2234,https://gomspace.com/wp-content/uploads/2025/09/NanoMind_A3200.pdf,DS 1006901,Revision 1.17 / 2021-01-29,2026-09-15,PRIMARY MANUFACTURER,COPYRIGHTED_LOCAL_ONLY
SOURCES/components/GomSpace_NanoCom_AX100/NanoCom_AX100_DS1013823_rev3.7.pdf,803501,e734a38e710a5d48b68b39cc81d921285129fe0bb7e035dd038eaba07e9a998d,https://gomspace.com/wp-content/uploads/2025/09/gs-ds-nanocom-ax100.pdf,DS 1013823,Revision 3.7 / 2019-11-29,2026-09-15,PRIMARY MANUFACTURER,COPYRIGHTED_LOCAL_ONLY
SOURCES/components/GomSpace_NanoCom_AX100/AX100_U_UL_PCN_2024-02-13.pdf,747168,1a0d74b6aada4e7bc7c0a94af517c44d48dcb7ab11e8b8ad407ca3beaa94384b,https://gomspace.com/wp-content/uploads/2025/09/ProductChangeNotice_NANOCOM_AX100-U-UL.pdf,NanoCom AX100 U/UL Product Change Notice,2024-02-13,2026-09-15,PRIMARY MANUFACTURER,COPYRIGHTED_LOCAL_ONLY
SOURCES/components/GomSpace_NanoDock_DMC3/NanoDock_DMC3_DS1012962_rev1.12.pdf,2223967,275e44c730a5d3152035f781e4b113388597c33c829a067546073ae7b163f5d3,https://gomspace.com/wp-content/uploads/2025/12/gs-ds-nanodock-dmc-3-112.pdf,DS 1012962,Revision 1.12 / 2021-03-25,2026-09-15,PRIMARY MANUFACTURER,COPYRIGHTED_LOCAL_ONLY
SOURCES/components/GomSpace_NanoDock_DMC3/NanoDock_DMC3_OSF1012964_rev2.3.pdf,1337743,5f708d21389eb716eb18003aac35029304a3043995e789202bc59b5b3bbd2342,https://gomspace.com/wp-content/uploads/2025/12/gs-osf-nanodock-dmc-3-23_1.pdf,OSF 1012964,Revision 2.3 / 2025-04-14,2026-09-15,PRIMARY MANUFACTURER,COPYRIGHTED_LOCAL_ONLY
SOURCES/components/GomSpace_NanoDock_DMC3/NanoDock_DMC3_Qualification_Certificate.pdf,871662,706e6bb2f6ff690d4369a1a42dce3e4f9d22eedc7baf97028ab2398721cd79cf,https://gomspace.com/wp-content/uploads/2025/12/Gs-Qtct-NanoDock_DMC-3.pdf,Qualification Certificate 1028503,Revision 1.0 / 2021-11-09,2026-09-15,PRIMARY MANUFACTURER,COPYRIGHTED_LOCAL_ONLY
SOURCES/components/SkyFox_piCAM/piCAM_Datasheet_rev_A_2025.pdf,1393188,06773fc435abddf19f2a7919e2f3a06d07f8ee04fd45d07ae19cf1e3243d404d,https://skyfoxlabs.com/pdf/piCAM_Datasheet_rev_A_2025.pdf,piCAM Product Datasheet,Revision A / 2025,2026-09-15,PRIMARY MANUFACTURER,COPYRIGHTED_LOCAL_ONLY
SOURCES/components/Ebyte_E22-400M22S/E22-400M22S_User_Manual.pdf,1021839,8c7baff5430e0a9becc7ed778035af546512b0a1c67b81c1d23bddd401f18df1,https://www.cdebyte.com/pdf-down.aspx?id=3511,E22-400M22S User Manual,Version 1.5 / 2024-12-31,2026-09-16,PRIMARY MANUFACTURER,COPYRIGHTED_LOCAL_ONLY
SOURCES/components/Azur_3G30-Advanced_4x8/DB_00010891-01_3G30-Advanced_4x8.pdf,401834,043f795f37b076dcfb1157231181e90879b6118eff74fc6423fdb06cc9aa4c61,https://www.azurspace.com/media/uploads/file_links/file/bdb_00010891-01-00_tj3g30-advanced_4x8.pdf,TJ 3G30-Advanced 4x8,DB 00010891-01 / 2025-04-11,2026-09-16,PRIMARY MANUFACTURER,COPYRIGHTED_LOCAL_ONLY
