geometry_factor,face_W,heater_W,energy_margin_Wh,closed
1,2.3,0.15,-0.4206580050768518,False
1,2.3,0.5,-1.2283949116776645,False
1,2.3,1.0,-2.382304778250255,False
1,1.8,0.15,-0.7215399673035208,False
1,1.8,0.5,-1.5292768739043334,False
1,1.8,1.0,-2.6831867404769234,False
1.5,2.3,0.15,0.27137050804448726,True
1.5,2.3,0.5,-0.5363663985563254,False
1.5,2.3,1.0,-1.6902762651289156,False
1.5,1.8,0.15,-0.1799524352955162,False
1.5,1.8,0.5,-0.9876893418963288,False
1.5,1.8,1.0,-2.141599208468919,False
